TwitchToolkit - Log - Sunday, October 3, 2021
Purchase saltymaud: !buy manhunterpack 5000 @ 6:59 PM
saltymaud's karma went from 500 to 205
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 4.1 coins, total 41
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 4.1 coins, total 41
wager: 5000 gamePoints: 44.01994 pointsPurchased: 88.03988 totalRolls: 8 highestRoll: 123 finalPoints: 108.289
Purchase saltymaud: !buy raid 5000 @ 7:01 PM
saltymaud's karma went from 205 to 50
wager: 5000 gamePoints: 44.01994 pointsPurchased: 88.03988 totalRolls: 8 highestRoll: 115 finalPoints: 101.2459
Purchase saltymaud: !buy raid 5000 @ 7:01 PM
saltymaud's karma went from 50 to 50
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 1 coins, total 10
Purchase saltymaud: !buy chemfuel 1000 @ 7:04 PM
saltymaud's karma went from 50 to 500
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 1 coins, total 10
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
Purchase iyuru: !buy pawn Anthro @ 8:00 PM
iyuru's karma went from 100 to 278
colradi gets 10 * 1 coins, total 10
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
Purchase colradi: !buy pawn human @ 8:01 PM
colradi's karma went from 100 to 278
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1 coins, total 10
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
Purchase fannaah: !buy tequila 1 @ 8:05 PM
fannaah's karma went from 100 to 104
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.04 coins, total 11
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.04 coins, total 11
fanytic gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.04 coins, total 11
fanytic gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.04 coins, total 11
fanytic gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.04 coins, total 11
fanytic gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
Purchase fannaah: !buy cat 1 @ 8:10 PM
fannaah's karma went from 104 to 128
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 1.28 coins, total 13
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
Purchase fannaah: !buy pawn human @ 8:49 PM
fannaah's karma went from 128 to 306
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
colradi gets 10 * 2.78 coins, total 28
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
fanytic gets 10 * 1 coins, total 10
icewizerds gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
iyuru gets 10 * 2.78 coins, total 28
tekekorni gets 10 * 1 coins, total 10
fannaah gets 10 * 3.06 coins, total 31
